City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
460,Kavaratti,IN,83.25,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
462,Umm Lajj,SA,87.28,clear sky,25.0213,37.2685,Moon light Furnished Units
464,Catuday,PH,81.91,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
467,Kisangani,CD,85.82,broken clouds,0.5167,25.2,Grand Ramela Hotel
469,Sola,VU,80.49,overcast clouds,-13.8833,167.55,Leumerus Bungalows
470,Ranong,TH,80.01,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
471,Alwaye,IN,80.55,mist,10.1167,76.35,Hotel Airlink Castle
473,Zhanaozen,KZ,84.9,overcast clouds,43.3,52.8,K.korabay 28A
474,Begoro,GH,83.7,overcast clouds,6.3871,-0.3774,Sweet Memories Hotel
477,Kupang,ID,76.44,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
481,Rameswaram,IN,82.9,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
485,Morondava,MG,76.89,clear sky,-20.2833,44.2833,La Case Bambou
487,Surt,LY,77.65,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
496,Wanlaweyn,SO,82.99,overcast clouds,2.6185,44.8938,GAASHAAN HOME
501,Inyonga,TZ,79.5,scattered clouds,-6.7167,32.0667,Eden Rock Lodge
502,Javanrud,IR,81.88,clear sky,34.7961,46.5172,Bonnie power
509,Damghan,IR,89.49,broken clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
513,Manaus,BR,77.49,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
518,Mahuva,IN,84.22,few clouds,21.0914,71.7622,Hotel Blue Diamond.
519,Sungairaya,ID,77.16,moderate rain,0.7,108.9,Rumah Kuku Moimoi Shelly
522,Kesan,TR,82.9,broken clouds,40.8558,26.6303,Saros Hotel
523,West Lafayette,US,87.58,overcast clouds,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
526,Panaba,MX,88.77,broken clouds,21.2833,-88.2667,Hotel Don Fernando
531,Ayia Marina,GR,88.41,few clouds,37.75,23.5333,Argo Spa Hotel
